wbic,Developed,Barren,Forest,Shrub.Scrub,Grassland,Pasture.hay,CultivatedCrops,Wetlands
116400,0,0,0.01754386,0,0,0.122807018,0.552631579,0.307017544
116500,0,0,0.831683168,0.099009901,0,0,0,0.069306931
116600,0.081081081,0,0.918918919,0,0,0,0,0
116700,0,0,0.212121212,0,0,0,0,0.787878788
117000,0.111111111,0,0.863247863,0.025641026,0,0,0,0
117100,0.100671141,0,0.013422819,0,0,0,0.087248322,0.798657718
117400,0.335135135,0,0.378378378,0,0.005405405,0,0.145945946,0.135135135
117500,0.2,0,0.542105263,0.063157895,0,0,0.115789474,0.078947368
117600,0.254355401,0,0.543554007,0.114982578,0.034843206,0,0.052264808,0
117800,0.244755245,0,0.34965035,0.114685315,0.088111888,0.040559441,0.001398601,0.160839161
128800,0.949820789,0,0.028673835,0,0,0.021505376,0,0
129800,0.835394862,0,0.019980971,0,0,0.022835395,0.047098002,0.074690771
131100,0.42485799,0,0.149851815,0.001667078,0.008891084,0.118671277,0.07446283,0.221597925
133600,0.20661157,0,0.024793388,0,0,0.06729634,0.175914994,0.525383707
134400,0.036429872,0,0.013661202,0,0,0,0.052823315,0.89708561
136700,0,0,0.036211699,0,0,0,0.52367688,0.440111421
138000,0.058823529,0,0.294117647,0,0,0.058823529,0.274509804,0.31372549
139300,0.104395604,0,0.557692308,0.016483516,0,0.200549451,0,0.120879121
139500,0,0,0.070175439,0,0,0.029239766,0.333333333,0.567251462
139600,1,0,0,0,0,0,0,0
139900,0.233939394,0,0.09959596,0.006464646,0.005858586,0.077575758,0.085252525,0.491313131
140500,0.007444169,0,0.074441687,0.007444169,0,0.086848635,0.213399504,0.610421836
141400,0.013126893,0,0.034668462,0,0,0.020531807,0.149781218,0.781891619
142200,0.028901734,0,0.080924855,0,0,0,0.300578035,0.589595376
